vin,date,hour,max_velocity_per_vin,rank
4T1BF1FK8FUB03575,27,23,450,1
SCFBB03B07GC02942,27,23,150,2
KMHFC46F87A211273,27,23,140,3
ZARBA5642K1063245,27,23,140,4
JTMKF4DV0A5016322,27,23,140,5
9BWEL41J484018815,27,23,140,6
ZFFEW58A870157169,27,23,130,7
JTHBN36F665857215,27,23,130,8
1G4AP6949BX114240,27,23,130,9
ZHWGE11S04LA00780,27,23,130,10
4T1BF1FK8FUB03575,27,22,450,1
WVWHP9AN8AE560303,27,22,190,2
WDBCB20AXEA063442,27,22,150,3
KMHFC46F87A211273,27,22,150,4
1C4NJDBB0GD610265,27,22,150,5
SAJAD03P25FN31904,27,22,150,6
ZFFEW58A870157169,27,22,150,7
JTMKF4DV0A5016322,27,22,140,8
ZARBA5642K1063245,27,22,140,9
JTHBN36F665857215,27,22,140,10
