vin,max_timestamp,frontLeftDoorState,wipersState
1G4AP6949BX114240,2025-10-27 23:26:36.127000+02:00,LOCKED,True
4TAPN62N0TZ087521,2025-10-27 23:24:39.127000+02:00,UNLOCKED,True
WVWPH63B63E455188,2025-10-27 23:26:50.127000+02:00,UNLOCKED,True
WVWHP9AN8AE560303,2025-10-27 23:26:29.127000+02:00,UNLOCKED,True
JTMKF4DV0A5016322,2025-10-27 23:26:06.127000+02:00,UNLOCKED,True
JN1CV6FH0A0017612,2025-10-27 23:26:06.127000+02:00,LOCKED,True
KMHFC46F87A211273,2025-10-27 23:27:03.127000+02:00,LOCKED,True
ZFFEW58A870157169,2025-10-27 23:26:42.127000+02:00,LOCKED,True
ZHWGE11S04LA00780,2025-10-27 23:25:27.127000+02:00,UNLOCKED,True
JT2BG22KXW0164520,2025-10-27 23:25:59.128000+02:00,LOCKED,False
WDBCB20AXEA063442,2025-10-27 23:25:16.127000+02:00,UNLOCKED,True
1D3HW58J16S586904,2025-10-27 23:24:40.128000+02:00,UNLOCKED,True
SCFBB03B07GC02942,2025-10-27 23:26:53.127000+02:00,UNLOCKED,True
4T1BF1FK8FUB03575,2025-10-27 23:25:58.126000+02:00,LOCKED,True
9BWEL41J484018815,2025-10-27 23:24:10.128000+02:00,UNLOCKED,True
SAJAD03P25FN31904,2025-10-27 23:26:27.127000+02:00,UNLOCKED,True
JTHBN36F665857215,2025-10-27 23:27:02.128000+02:00,UNLOCKED,True
ZARBA5642K1063245,2025-10-27 23:26:03.127000+02:00,UNLOCKED,True
YV1CZ852051206734,2025-10-27 23:26:45.127000+02:00,LOCKED,True
3C3CFFJH9DT711213,2025-10-27 23:24:02.128000+02:00,UNLOCKED,False
1C4NJDBB0GD610265,2025-10-27 23:25:46.127000+02:00,LOCKED,True
1FMYU96H95KD42711,2025-10-27 23:26:58.127000+02:00,UNLOCKED,True
